Comment,Designator,Footprint,LCSC
1k,"R12,R16,R2,R3,R4",R_0402_1005Metric,C11702
15p,"C29,C30",C_0402_1005Metric,C1548
Simple_Addon_v2,X1,Simple_Addon_v2-SAO-2x3,C168680
1N5819,D193,D_SOD-323,C191023
RP2040,U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
NPN_BEC,Q1,SOT-323_SC-70,C22388837
LED,"D195,D197",D_0603_1608Metric,C2286
330,"R11,R13,R15",R_0402_1005Metric,C25104
33,"R10,R8",R_0402_1005Metric,C25105
200k,R6,R_0402_1005Metric,C25764
33k,R9,R_0402_1005Metric,C25779
5k1,"R1,R14,R17,R18,R5,R7",R_0402_1005Metric,C25905
UP,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8",SW_SPST_PTS810,C2689510
DEBUG,J2,PinHeader_1x03_P2.54mm_Vertical,C2915006
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2931474
BUZZER,LS1,CMT5023SSMTTR,C391029
22u,"C16,C27,C28",C_0805_2012Metric,C45783
32Mb QSPI,U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C5258281
1u,"C1,C10,C11,C12,C13,C15,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C3,C31,C32,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C52923
WS2812B,"D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D12,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D13,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D14,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D15,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D16,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D17,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D18,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D19,D190,D191,D192,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",LED_WS2812B-1615_PLCC4_1.6x1.5mm,C5349954
3V3LDO,U1,SOT-23,C5446
470n,L1,L_1008_2520Metric,C576393
1N4007,D194,D_SOD-123F,C64898
DISP_DBG,J1,PinHeader_1x03_P1.27mm_Vertical,C6658360
1N4148,"D196,D198,D199",D_SOD-523,C7420320
12M,Y1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,C9002
TPS61022,U4,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,C915088
LSM6DS3TR-C,U3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C967633
